t,segment_id,meal_slug,sure,ayet,class,cond,A0_ABL_score,T0_DAT_score,B_abl,T_teleo,Pi,D_c
2,bayraktar_s007_a096,bayraktar,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,bayraktar_s007_a096,bayraktar,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,bayraktar_s007_a096,bayraktar,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,bayraktar_s007_a096,bayraktar,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,besimatalay_s002_a010,besimatalay,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,besimatalay_s002_a010,besimatalay,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,besimatalay_s002_a010,besimatalay,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,besimatalay_s002_a010,besimatalay,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,besimatalay_s002_a010,besimatalay,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,besimatalay_s002_a010,besimatalay,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,besimatalay_s008_a053,besimatalay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,besimatalay_s008_a053,besimatalay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
2,besimatalay_s008_a053,besimatalay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
3,besimatalay_s008_a053,besimatalay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
4,besimatalay_s008_a053,besimatalay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
5,besimatalay_s008_a053,besimatalay,8,53,unknown,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
0,besimatalay_s007_a096,besimatalay,7,96,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,besimatalay_s007_a096,besimatalay,7,96,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,besimatalay_s007_a096,besimatalay,7,96,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,besimatalay_s007_a096,besimatalay,7,96,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,besimatalay_s007_a096,besimatalay,7,96,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,besimatalay_s007_a096,besimatalay,7,96,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,cemalkulunkoglu_s002_a010,cemalkulunkoglu,2,10,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,0.350000,0.000000,0.350000,0
1,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,0.647500,0.000000,0.647500,0
2,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,0.900375,0.000000,0.900375,0
3,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,1.115319,0.000000,1.115319,0
4,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,1.298021,0.000000,1.298021,1
5,cemalkulunkoglu_s008_a053,cemalkulunkoglu,8,53,ABL_dominant,0,1.000000,0.000000,1.453318,0.000000,1.453318,1
0,cemalkulunkoglu_s007_a096,cemalkulunkoglu,7,96,ABL_dominant,1,1.000000,0.000000,0.350000,0.000000,-1.150000,0
