segment_id,meal_slug,sure,ayet,class,cond_sart_flag,A0_ABL_score,T0_DAT_score,Pi0_static,D0_static,steps,B_final,T_final,Pi_final,D_final
kadricelik_s016_a112,kadricelik,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
kadricelik_s008_a053,kadricelik,8,53,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
kadricelik_s007_a096,kadricelik,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
kadricelik_s030_a041,kadricelik,30,41,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
kuranyolu_s002_a010,kuranyolu,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
kuranyolu_s016_a112,kuranyolu,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
kuranyolu_s008_a053,kuranyolu,8,53,unknown,0,0.000000,0.000000,0.000000,0,12,0.000000,0.000000,0.000000,0
kuranyolu_s007_a096,kuranyolu,7,96,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
kuranyolu_s030_a041,kuranyolu,30,41,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mahmutkisa_s002_a010,mahmutkisa,2,10,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mahmutkisa_s016_a112,mahmutkisa,16,112,ABL_dominant,0,1.000000,0.000000,1.000000,0,12,2.001436,0.000000,2.001436,1
mahmutkisa_s008_a053,mahmutkisa,8,53,teleological_surface,1,0.000000,0.700000,-2.200000,0,12,0.000000,1.401005,-2.901005,0
mahmutkisa_s007_a096,mahmutkisa,7,96,ABL_dominant,1,1.000000,0.000000,-0.500000,0,12,2.001436,0.000000,0.501436,0
